id,name,lon,lat
398,398,-80.068422,26.565109
399,399,-80.060386,26.564868
400,400,-80.050678,26.567368
401,401,-80.052534,26.550528
402,402,-80.061256,26.553679
403,403,-80.06197,26.544933
404,404,-80.06927,26.543881
405,405,-80.068896,26.554264
406,406,-80.074794,26.579438
407,407,-80.085029,26.575969
408,408,-80.085464,26.584159
409,409,-80.091631,26.575816
410,410,-80.094564,26.583092
411,411,-80.101596,26.575323
412,412,-80.101366,26.583529
413,413,-80.109267,26.583858
414,414,-80.109289,26.575494
415,415,-80.111604,26.57006
416,416,-80.093694,26.568251
417,417,-80.086483,26.565459
418,418,-80.076858,26.564552
419,419,-80.072961,26.554393
420,420,-80.073552,26.545313
421,421,-80.078102,26.547549
422,422,-80.082495,26.552375
423,423,-80.088093,26.553836
424,424,-80.08815,26.543046
425,425,-80.100389,26.549162
426,426,-80.094635,26.5538
427,427,-80.110526,26.546159
428,428,-80.118888,26.549165
429,429,-80.114566,26.553716
430,430,-80.118713,26.560871
431,431,-80.126767,26.560723
432,432,-80.121835,26.568318
433,433,-80.118414,26.57565
434,434,-80.125656,26.575814
435,435,-80.116735,26.583242
436,436,-80.126361,26.584036
437,437,-80.13816,26.579646
438,438,-80.152407,26.588442
439,439,-80.151436,26.565
440,440,-80.138089,26.568579
441,441,-80.125017,26.553845
442,442,-80.15595,26.545921
443,443,-80.151531,26.53367
444,444,-80.136354,26.533702
445,445,-80.126901,26.531626
446,446,-80.127052,26.524381
447,447,-80.127225,26.517048
448,448,-80.135094,26.524319
449,449,-80.152702,26.52375
450,450,-80.16843,26.525091
451,451,-80.168463,26.5052
452,452,-80.155631,26.509102
453,453,-80.14305,26.506042
454,454,-80.127244,26.509724
455,455,-80.127014,26.495044
456,456,-80.135063,26.494988
457,457,-80.155637,26.494407
458,458,-80.168498,26.490698
459,459,-80.168778,26.476002
460,460,-80.159311,26.478168
461,461,-80.13484,26.48007
462,462,-80.126656,26.480315
463,463,-80.126608,26.472881
464,464,-80.126988,26.464494
465,465,-80.133063,26.463794
466,466,-80.155211,26.461326
467,467,-80.167402,26.464994
468,468,-80.165324,26.442257
469,469,-80.150932,26.446485
470,470,-80.134654,26.450114
471,471,-80.13394,26.455502
472,472,-80.126593,26.455832
473,473,-80.126496,26.45017
474,474,-80.138521,26.442833
475,475,-80.126322,26.442895
476,476,-80.126222,26.437375
477,477,-80.132602,26.437059
478,478,-80.162761,26.433367
479,479,-80.114686,26.53539
480,480,-80.102556,26.535413
481,481,-80.0946,26.535512
482,482,-80.087649,26.535404
483,483,-80.080295,26.53496
484,484,-80.075256,26.534458
485,485,-80.08754,26.529807
486,486,-80.092033,26.529667
487,487,-80.102605,26.529569
488,488,-80.113037,26.529566
489,489,-80.111635,26.526224
490,490,-80.101502,26.520507
491,491,-80.119017,26.502523
492,492,-80.105573,26.502632
493,493,-80.093125,26.502919
494,494,-80.083944,26.503473
495,495,-80.076879,26.511431
496,496,-80.084348,26.510232
497,497,-80.093412,26.510378
498,498,-80.094368,26.517468
499,499,-80.085507,26.518172
500,500,-80.076211,26.51875
501,501,-80.069037,26.528038
502,502,-80.069212,26.534029
503,503,-80.061258,26.537212
504,504,-80.061657,26.532171
505,505,-80.056194,26.530684
506,506,-80.05665,26.528001
507,507,-80.061944,26.528018
508,508,-80.068616,26.520816
509,509,-80.062382,26.521576
510,510,-80.05963,26.520511
511,511,-80.056088,26.52411
512,512,-80.057806,26.51082
513,513,-80.060867,26.510865
514,514,-80.063621,26.510549
515,515,-80.069895,26.511094
516,516,-80.074869,26.501283
517,517,-80.06682,26.50195
518,518,-80.068209,26.494666
519,519,-80.062995,26.497292
520,520,-80.060184,26.495378
521,521,-80.062217,26.487584
522,522,-80.064413,26.476305
523,523,-80.064834,26.471725
524,524,-80.065396,26.462602
525,525,-80.065565,26.459923
526,526,-80.067207,26.442638
527,527,-80.067774,26.435643
528,528,-80.071311,26.431546
529,529,-80.069523,26.422703
530,530,-80.069028,26.483256
531,531,-80.066995,26.479205
532,532,-80.069437,26.476812
533,533,-80.070992,26.47168
534,534,-80.068,26.471396
535,535,-80.068612,26.462557
536,536,-80.071644,26.462576
537,537,-80.071828,26.459907
538,538,-80.068804,26.459781
539,539,-80.070217,26.445603
540,540,-80.071394,26.442177
541,541,-80.11886,26.495073
542,542,-80.11865,26.487663
543,543,-80.118527,26.480277
544,544,-80.118463,26.47478
545,545,-80.118423,26.471112
546,546,-80.110188,26.471168
547,547,-80.110261,26.474765
548,548,-80.100682,26.478494
549,549,-80.099211,26.471215
550,550,-80.091401,26.470625
551,551,-80.088727,26.478558
